Country,Year,Production_Million_Tonnes,Percentage_of_World,Rank
Afghanistan,1996,2.3,0.4,30
Algeria,1996,3.0,0.53,27
Argentina,1996,9.5,1.66,14
Australia,1996,16.5,2.89,10
Belarus,1996,0.6,0.11,39
Brazil,1996,3.3,0.58,25
Bulgaria,1996,1.8,0.32,32
Canada,1996,29.8,5.22,6
China,1996,110.6,19.36,1
Czech Republic,1996,3.7,0.65,23
Denmark,1996,4.8,0.84,21
Egypt,1996,5.7,1.0,20
Ethiopia,1996,1.2,0.21,36
France,1996,35.9,6.28,4
Germany,1996,18.9,3.31,7
Hungary,1996,3.9,0.68,22
India,1996,62.1,10.87,2
Iran,1996,10.0,1.75,13
Iraq,1996,1.3,0.23,35
Italy,1996,8.0,1.4,16
Kazakhstan,1996,7.7,1.35,17
Latvia,1996,0.4,0.07,40
Lithuania,1996,0.9,0.16,38
Mexico,1996,3.4,0.6,24
Morocco,1996,5.9,1.03,19
Nepal,1996,1.0,0.18,37
Pakistan,1996,16.9,2.96,9
Poland,1996,8.6,1.51,15
Romania,1996,3.1,0.54,26
Russia,1996,34.8,6.09,5
Serbia,1996,1.5,0.26,34
Slovakia,1996,1.7,0.3,33
South Africa,1996,2.7,0.47,28
Spain,1996,6.0,1.05,18
Sweden,1996,2.0,0.35,31
Turkey,1996,18.5,3.24,8
Ukraine,1996,13.5,2.36,12
United Kingdom,1996,16.1,2.82,11
United States,1996,62.0,10.85,3
Uzbekistan,1996,2.7,0.47,28
World total,1996,571.4,100.0,
Afghanistan,1997,2.7,0.44,28
Algeria,1997,0.7,0.11,38
Argentina,1997,16.1,2.6,12
Australia,1997,23.7,3.83,7
Belarus,1997,0.7,0.11,38
Brazil,1997,2.5,0.4,29
Bulgaria,1997,3.6,0.58,24
Canada,1997,24.3,3.93,6
China,1997,123.3,19.92,1
Czech Republic,1997,3.6,0.58,24
Denmark,1997,5.0,0.81,21
Egypt,1997,5.8,0.94,19
Ethiopia,1997,1.1,0.18,34
France,1997,33.9,5.48,5
Germany,1997,19.8,3.2,8
Hungary,1997,5.3,0.86,20
India,1997,69.4,11.21,2
Iran,1997,10.0,1.62,14
Iraq,1997,1.1,0.18,34
Italy,1997,6.8,1.1,18
Kazakhstan,1997,9.0,1.45,15
Latvia,1997,0.4,0.06,40
Lithuania,1997,1.1,0.18,34
Mexico,1997,3.7,0.6,23
Morocco,1997,2.3,0.37,31
Nepal,1997,1.1,0.18,34
Pakistan,1997,16.7,2.7,11
Poland,1997,8.2,1.32,16
Romania,1997,7.2,1.16,17
Russia,1997,44.2,7.14,4
Serbia,1997,3.1,0.5,27
Slovakia,1997,1.9,0.31,33
South Africa,1997,2.4,0.39,30
Spain,1997,4.7,0.76,22
Sweden,1997,2.1,0.34,32
Turkey,1997,18.7,3.02,9
Ukraine,1997,18.4,2.97,10
United Kingdom,1997,15.0,2.42,13
United States,1997,67.5,10.9,3
Uzbekistan,1997,3.2,0.52,26
World total,1997,619.1,100.0,
Afghanistan,1998,2.8,0.47,29
Algeria,1998,2.3,0.39,30
Argentina,1998,15.1,2.55,12
Australia,1998,19.2,3.24,9
Belarus,1998,0.8,0.13,39
Brazil,1998,2.3,0.39,30
Bulgaria,1998,3.2,0.54,26
